mid,m_id,name,UATYPE,m_pop,m_house_unit,m_land,m_water,m_lat_d,m_long_d,m_lat_r,m_long_r
m2413,2413,"Anderson, SC Urbanized Area",U,75702,34650,74.086,1.272,34.520717,-82.660933,0.6025001717991793,-1.4427054436204338
m2440,2440,"Andrews, SC Urban Cluster",C,3903,1709,3.004,0.0,33.45093,-79.56202,0.5838288663541468,-1.3886192085375788
m2467,2467,"Andrews, TX Urban Cluster",C,12346,4841,6.252,0.012,32.320646,-102.546505,0.5641016890715352,-1.7897741486628276
m2494,2494,"Angels, CA Urban Cluster",C,3751,1853,2.665,0.009,38.074409,-120.551042,0.6645237978009617,-2.10401259960997
m2548,2548,"Angola, IN Urban Cluster",C,11196,5828,9.108,1.523,41.661114,-85.016227,0.7271236093487049,-1.4838130787729011
m2575,2575,"Anna, IL Urban Cluster",C,6078,2815,3.979,0.018,37.460138,-89.251143,0.6538027463514436,-1.5577263065182894
m2581,2581,"Anna, TX Urban Cluster",C,10746,3809,6.984,0.012,33.377912,-96.566252,0.5825544618409256,-1.6853990437105593
m2590,2590,"Annandale, MN Urban Cluster",C,3262,1460,2.722,0.0,45.259981,-94.121617,0.7899356878400757,-1.6427321139510676
m2602,2602,"Ann Arbor, MI Urbanized Area",U,306022,133978,159.571,5.25,42.240003,-83.662679,0.7372271284022824,-1.460189209589117
m2629,2629,"Anniston--Oxford, AL Urbanized Area",U,79796,36090,86.769,0.535,33.664398,-85.828795,0.587554585801794,-1.4979950657692465
m2656,2656,"Antigo, WI Urban Cluster",C,8158,3916,4.183,0.033,45.142639,-89.153197,0.7878876835892006,-1.5560168263291312
m2683,2683,"Antioch, CA Urbanized Area",U,277634,93809,81.361,0.343,37.991687,-121.78212,0.6630800265371269,-2.125498964058837
m2710,2710,"Apalachicola, FL Urban Cluster",C,3691,2095,2.794,6.104,29.751831,-84.909118,0.519267409446917,-1.4819436740643825
m2764,2764,"Appleton, WI Urbanized Area",U,216154,92157,103.775,4.172,44.24668,-88.411096,0.7722502490763246,-1.5430647204967887
m2773,2773,"Apple Valley, OH Urban Cluster",C,4835,2492,4.745,0.789,40.438,-82.350123,0.705776242921467,-1.4372807857723102
m2791,2791,"Arab, AL Urban Cluster",C,8012,3635,8.371,0.117,34.320987,-86.513807,0.5990142256841711,-1.509950780584918
m2825,2825,"Arbuckle, CA Urban Cluster",C,2652,812,0.723,0.0,39.016726,-122.060221,0.680970332048477,-2.1303527421619255
m2845,2845,"Arcade, NY Urban Cluster",C,3048,1470,2.361,0.0,42.534572,-78.466924,0.7423683273265894,-1.369506177712159
m2899,2899,"Arcadia, LA Urban Cluster",C,2894,1188,2.749,0.0,32.552442,-92.923791,0.5681472924644879,-1.6218261063850739
m2901,2901,"Arcadia, WI Urban Cluster",C,2993,1235,2.109,0.0,44.249706,-91.490908,0.77230306273949,-1.5968175802392202
m2912,2912,"Arcadia--Southeast Arcadia, FL Urban Cluster",C,17490,7356,10.128,0.006,27.213341,-81.852437,0.47496240091796615,-1.4285945264312296
m2926,2926,"Arcata-McKinleyville, CA Urban Cluster",C,32364,14233,16.461,0.121,40.914605,-124.089324,0.7140945694029346,-2.1657672703740203
m2953,2953,"Archbold, OH Urban Cluster",C,4760,2046,3.775,0.015,41.525365,-84.293649,0.7247543423424151,-1.4712017135704256
m2965,2965,"Archer Lodge--Clayton, NC Urban Cluster",C,13288,4707,20.302,0.102,35.668587,-78.365739,0.6225342826840468,-1.3677401663085287
m2980,2980,"Arcola, IL Urban Cluster",C,2874,1122,1.349,0.017,39.684596,-88.302758,0.6926268625237716,-1.5411738656917628
m3007,3007,"Ardmore, OK Urban Cluster",C,20888,9566,11.673,0.03,34.178548,-97.14166,0.5965281961509229,-1.6954418078528746
m3034,3034,"Arecibo, PR Urbanized Area",U,139171,60653,84.07,0.615,18.4546,-66.80797,0.3220935321385455,-1.166019043073596
m3088,3088,"Arizona City, AZ Urban Cluster",C,10531,5068,4.668,0.072,32.749832,-111.673175,0.5715923978749995,-1.9490645899058188
m3115,3115,"Arkadelphia, AR Urban Cluster",C,10491,4057,5.795,0.0,34.124379,-93.067873,0.59558276874841,-1.6243408116779325
m3142,3142,"Arkansas City, KS Urban Cluster",C,13026,5906,9.636,0.053,37.060526,-97.034648,0.6468282012209641,-1.6935740961137307
m3158,3158,"Arlington, TN Urban Cluster",C,11502,3760,7.785,0.034,35.279993,-89.662679,0.6157520379305518,-1.5649089647087768
m3196,3196,"Arroyo Grande--Grover Beach, CA Urbanized Area",U,52000,25398,23.019,0.091,35.119408,-120.607531,0.6129493009512368,-2.1049985186511293
m3223,3223,"Artesia, NM Urban Cluster",C,12764,5269,6.53,0.007,32.837488,-104.414485,0.5731222836841277,-1.8223765500242315
m3250,3250,"Arvin, CA Urban Cluster",C,19573,4542,4.326,0.0,35.203012,-118.832555,0.6144084660190741,-2.07401934330725
m3277,3277,"Ashburn, GA Urban Cluster",C,4489,1940,3.161,0.04,31.700815,-83.650095,0.5532835973156062,-1.459969577356046
m3304,3304,"Ashdown, AR Urban Cluster",C,4146,1895,3.577,0.0,33.679701,-94.126094,0.5878216735372267,-1.6428102523416794
m3331,3331,"Asheboro, NC Urban Cluster",C,37792,16547,32.929,0.076,35.731271,-79.804262,0.6236283248723667,-1.3928471290241948
m3358,3358,"Asheville, NC Urbanized Area",U,280648,136493,264.877,2.431,35.536428,-82.66557,0.6202276729979035,-1.4427863745378489
m3365,3365,"Ashland, MO Urban Cluster",C,3527,1466,1.819,0.0,38.771719,-92.259128,0.6766941532080433,-1.6102255486188912
m3375,3375,"Ashland, NE Urban Cluster",C,2631,1128,1.248,0.026,41.040566,-96.366597,0.7162930035820391,-1.6819144065924898
m3385,3385,"Ashland, OH Urban Cluster",C,20226,8847,7.989,0.019,40.863585,-82.316997,0.7132041024185671,-1.4367026280042947
m3395,3395,"Ashland, PA Urban Cluster",C,7820,3446,5.654,0.0,40.772142,-76.320872,0.711608120990666,-1.3320505043931496
m3412,3412,"Ashland, WI Urban Cluster",C,7293,3452,4.336,0.0,46.578929,-90.881195,0.8129556731026699,-1.586176080897008
m3439,3439,"Ashland City, TN Urban Cluster",C,3384,1501,3.132,0.0,36.276595,-87.051506,0.6331460241625123,-1.519335398519599
m3466,3466,"Ashtabula, OH Urban Cluster",C,29346,14832,21.746,0.156,41.877017,-80.78496,0.7308918275636382,-1.4099635380919182
m3493,3493,"Ashville, OH Urban Cluster",C,6222,2565,5.524,0.114,39.718439,-82.967332,0.693217534302524,-1.448053114995252
m3520,3520,"Aspen, CO Urban Cluster",C,7710,6459,4.576,0.0,39.199309,-106.840314,0.6841570065566459,-1.8647152531645932
m3547,3547,"Astoria, OR Urban Cluster",C,14115,6907,9.112,0.633,46.17404,-123.835724,0.8058890269475625,-2.1613411153909623
m3601,3601,"Atchison, KS--MO Urban Cluster",C,11166,4489,6.06,0.062,39.570588,-95.137251,0.6906370475501579,-1.6604582712462679
m3655,3655,"Athens, AL Urban Cluster",C,24956,11020,27.027,0.194,34.8122,-86.951898,0.60758750986277,-1.5175969109582723
m3682,3682,"Athens, OH Urban Cluster",C,28286,9613,9.938,0.101,39.328457,-82.113077,0.6864110643790116,-1.433143552593628
m3709,3709,"Athens, TN Urban Cluster",C,15985,7376,14.855,0.0,35.448026,-84.600178,0.6186847670325555,-1.4765516538732713
m3736,3736,"Athens, TX Urban Cluster",C,12169,4891,9.16,0.025,32.201604,-95.847373,0.5620240142233761,-1.672852238237115
m3763,3763,"Athens-Clarke County, GA Urbanized Area",U,128754,55512,98.395,0.997,33.942069,-83.398271,0.5924008589890991,-1.4555744194205038
m3790,3790,"Athol, MA Urban Cluster",C,12834,5927,9.351,0.409,42.573322,-72.296365,0.7430446424117373,-1.2618096064735902
m3817,3817,"Atlanta, GA Urbanized Area",U,4515419,1861932,2645.352,36.106,33.824102,-84.331858,0.5903419464303991,-1.4718685864243202
m3844,3844,"Atlanta, TX Urban Cluster",C,5732,2678,7.462,0.039,33.125525,-94.167911,0.5781494777016947,-1.6435400966749858
m3871,3871,"Atlantic, IA Urban Cluster",C,6471,3102,2.819,0.028,41.40042,-95.007871,0.7225736407085107,-1.6582001642600375
m3898,3898,"Atlantic City, NJ Urbanized Area",U,248402,147060,125.137,4.462,39.371611,-74.590128,0.6871642437644172,-1.301843323084013
m3925,3925,"Atmore, AL Urban Cluster",C,6565,3121,4.731,0.016,31.021931,-87.487418,0.541434836276497,-1.5269434981685526
m3957,3957,"Atoka, TN Urban Cluster",C,18885,6695,20.665,0.091,35.431928,-89.797917,0.6184038039295694,-1.567269313082589
m3979,3979,"Attica, IN Urban Cluster",C,5193,2379,3.914,0.033,40.29083,-87.269893,0.7032076418613069,-1.5231469707131517
m4006,4006,"Attica, NY Urban Cluster",C,6828,1368,2.25,0.0,42.873714,-78.271755,0.7482874718583881,-1.3660998360643342
m4021,4021,"Aubrey, TX Urban Cluster",C,4139,1559,2.355,0.001,33.288048,-96.989229,0.5809860391619135,-1.6927813850207671
m4033,4033,"Auburn, AL Urbanized Area",U,74741,34604,49.908,0.351,32.614294,-85.443932,0.5692268135134315,-1.4912779392501436
m4054,4054,"Auburn, IL Urban Cluster",C,4433,1746,2.009,0.0,39.590007,-89.749535,0.6909759730376027,-1.566424887883889
m4060,4060,"Auburn, IN Urban Cluster",C,21712,9363,11.717,0.0,41.369835,-85.070784,0.7220398317567883,-1.484765278052912
m4087,4087,"Auburn, NE Urban Cluster",C,3474,1742,2.01,0.0,40.38848,-95.843424,0.7049119558758794,-1.6727833151849536
m4114,4114,"Auburn, NY Urban Cluster",C,32274,14870,12.904,0.092,42.926811,-76.561994,0.7492141893313196,-1.3362588771921433
m4130,4130,"Auburn--North Auburn, CA Urban Cluster",C,33157,14516,26.732,0.101,38.929947,-121.081669,0.6794557527768889,-2.11327378785995
m4168,4168,"Augusta, KS Urban Cluster",C,9350,3971,4.098,0.265,37.69194,-96.973193,0.6578484544641515,-1.6925015040219176
m4195,4195,"Augusta, ME Urban Cluster",C,22637,11691,17.33,0.285,44.265231,-69.782328,0.772574025105862,-1.2179313833066296
m4222,4222,"Augusta-Richmond County, GA--SC Urbanized Area",U,386787,165167,259.523,2.663,33.487951,-81.996378,0.5844750046965277,-1.431106770809843
m4249,4249,"Aumsville, OR Urban Cluster",C,3692,1282,1.151,0.0,44.845018,-122.866976,0.7826932172161225,-2.1444332731688522
m4276,4276,"Aurora, MO Urban Cluster",C,8365,3725,5.873,0.015,36.966708,-93.731351,0.6451907682233279,-1.6359206872924796
m4303,4303,"Aurora, NE Urban Cluster",C,4466,1933,2.11,0.006,40.867831,-98.003674,0.7132782090986068,-1.7104867903511611
m4330,4330,"Au Sable, MI Urban Cluster",C,6384,4799,10.451,0.26,44.453095,-83.346512,0.7758528704518286,-1.4546710544529642
m4357,4357,"Austin, MN Urban Cluster",C,25103,11089,12.225,0.098,43.671232,-92.977883,0.7622067868023084,-1.6227701898840627
m4384,4384,"Austin, TX Urbanized Area",U,1362416,566966,523.034,4.611,30.358509,-97.761515,0.5298559380463311,-1.7062603184878244
m4411,4411,"Ava, MO Urban Cluster",C,2857,1424,2.09,0.0,36.954458,-92.661589,0.6449769653899587,-1.6172498181797599
m4438,4438,"Avalon, CA Urban Cluster",C,3652,2244,1.326,0.0,33.341589,-118.328722,0.5819205058967237,-2.0652257985770497
m4465,4465,"Avenal, CA Urban Cluster",C,15486,2402,3.055,0.0,35.993168,-120.126356,0.6281992898234623,-2.0966004306228454
m4519,4519,"Avon, NY Urban Cluster",C,4973,2274,3.898,0.0,42.899102,-77.741633,0.7487305760488845,-1.3568474617270767
m4549,4549,"Avondale--Goodyear, AZ Urbanized Area",U,197041,73521,87.917,0.134,33.472717,-112.399026,0.5842091212382788,-1.9617330797347121
m4573,4573,"Avra Valley, AZ Urban Cluster",C,3869,1565,3.91,0.0,32.42773,-111.326681,0.5659706574477407,-1.9430171287674132
m4587,4587,"Aztec, NM Urban Cluster",C,8456,3553,6.314,0.117,36.833747,-107.9963,0.6428701609965838,-1.8848910149715523
m4600,4600,"Bad Axe, MI Urban Cluster",C,3490,1719,2.494,0.0,43.802432,-82.998022,0.7644966587809249,-1.4485887565426891
m4627,4627,"Bainbridge, GA Urban Cluster",C,12118,5320,10.312,0.251,30.904879,-84.566449,0.5393918934804527,-1.4759629717698661
m4654,4654,"Baker City, OR Urban Cluster",C,9518,4498,5.021,0.069,44.78391,-117.829271,0.7816266814168138,-2.0565087341746713
m4681,4681,"Bakersfield, CA Urbanized Area",U,523994,178519,138.439,0.867,35.362282,-119.030559,0.6171882519187254,-2.077475165039369
m4708,4708,"Bald Knob, AR Urban Cluster",C,2517,1151,2.267,0.0,35.31222,-91.574197,0.6163145051885921,-1.5982712475199137
m4762,4762,"Baldwin, WI Urban Cluster",C,5831,2474,3.703,0.0,44.974871,-92.428348,0.7849595796097146,-1.6131789947791157
m4789,4789,"Baldwin City, KS Urban Cluster",C,4428,1624,2.055,0.002,38.777506,-95.18748,0.6767951554118563,-1.6613349326762519
m4816,4816,"Ballinger, TX Urban Cluster",C,3705,1744,2.016,0.0,31.742185,-99.955801,0.5540056400271562,-1.7445578339182406
m4843,4843,"Baltimore, MD Urbanized Area",U,2203663,939420,717.035,25.336,39.234099,-76.64776,0.6847642066034146,-1.337755776278409
m4870,4870,"Baltimore, OH Urban Cluster",C,3503,1496,2.683,0.0,39.843836,-82.587278,0.6954061248246475,-1.4414199213598775
m4897,4897,"Bamberg, SC Urban Cluster",C,3492,1526,2.795,0.0,33.29856,-81.029973,0.581169508172883,-1.4142398216521073
m4924,4924,"Bandon, OR Urban Cluster",C,3119,1858,2.204,0.003,43.113779,-124.415518,0.7524773965271883,-2.1714604296742706
m4951,4951,"Bangor, ME Urbanized Area",U,61210,27142,42.507,1.43,44.834066,-68.748807,0.782502068756444,-1.1998930389681253
m5005,5005,"Baraboo, WI Urban Cluster",C,13759,6380,6.214,0.072,43.468312,-89.746773,0.7586651646841613,-1.566376681889949
m5032,5032,"Barbourville, KY Urban Cluster",C,6300,2867,5.054,0.061,36.860742,-83.854763,0.6433413126281597,-1.4635417078295179
m5059,5059,"Bardstown, KY Urban Cluster",C,18702,7927,16.987,0.149,37.83555,-85.464342,0.6603549218029405,-1.4916341609504755
m5086,5086,"Bar Harbor, ME Urban Cluster",C,2575,1745,1.695,0.0,44.392235,-68.2218,0.774790663069065,-1.1906950316370675
m5113,5113,"Barnesville, GA Urban Cluster",C,7167,2769,5.426,0.04,33.052313,-84.154709,0.5768716872497245,-1.4687767531077047
m5140,5140,"Barnesville, OH Urban Cluster",C,4351,2051,1.99,0.012,39.988942,-81.172519,0.6979387022890463,-1.416727718687655
m5167,5167,"Barnstable Town, MA Urbanized Area",U,246695,162112,277.257,22.569,41.622829,-70.576489,0.7264554100445789,-1.2317921075475602
m5194,5194,"Barnwell, SC Urban Cluster",C,3949,1849,3.62,0.015,33.24861,-81.361274,0.5802977162115118,-1.420022114917257
m5221,5221,"Barre--Montpelier, VT Urban Cluster",C,21675,10676,17.71,0.212,44.198429,-72.517883,0.7714081102589447,-1.2656758249260232
m5248,5248,"Barron, WI Urban Cluster",C,3292,1469,1.913,0.019,45.40188,-91.852846,0.792412292595363,-1.6031345900273033
m5275,5275,"Barrow, AK Urban Cluster",C,3835,1370,0.795,0.187,71.293793,-156.762893,1.2443114240852855,-2.736028627801571
m5302,5302,"Barstow, CA Urban Cluster",C,28973,11905,12.347,0.0,34.888022,-117.038437,0.608910853408217,-2.0427060770379546
m5329,5329,"Bartlesville, OK Urban Cluster",C,38874,18205,24.499,0.012,36.745394,-95.956329,0.6413281102425692,-1.6747538791769179
m5356,5356,"Bartlett, TX Urban Cluster",C,2653,621,1.062,0.0,30.796199,-97.433073,0.5374950696493852,-1.700527924185989
m5410,5410,"Basalt--El Jebel, CO Urban Cluster",C,8531,3464,4.043,0.01,39.388924,-107.087515,0.687466412617815,-1.8690297245288154
m5423,5423,"Basehor, KS Urban Cluster",C,3849,1546,2.469,0.04,39.127539,-94.941756,0.6829043837524895,-1.6570462398250814
m5437,5437,"Bastrop, LA Urban Cluster",C,13979,5959,10.078,0.041,32.776783,-91.913851,0.5720627815617045,-1.6041993281374824
m5464,5464,"Bastrop, TX Urban Cluster",C,13371,4887,11.474,0.131,30.100757,-97.282416,0.5253573169927308,-1.6978984634948118
